t_ms,ax_mg,ay_mg,az_mg,roll_acc_deg,pitch_acc_deg,gyro_int_roll,gyro_int_pitch
2746,-1,-2,998,-0.124,0.097,-0.000,-0.000
2753,1,-1,1001,-0.068,-0.071,-0.000,-0.000
2759,0,3,1000,0.183,-0.015,-0.000,-0.000
2764,0,0,999,-0.012,-0.015,-0.000,-0.000
2819,0,0,1000,0.016,0.013,-0.000,-0.000
2826,0,0,999,0.044,0.041,-0.000,-0.000
2831,-1,0,999,-0.012,0.069,-0.000,-0.000
2837,-3,-1,1000,-0.068,0.181,-0.000,-0.000
2843,0,0,1001,0.016,0.041,-0.000,-0.000
2850,0,0,1001,-0.012,0.041,-0.000,-0.000
2856,0,0,1001,-0.040,-0.043,-0.000,-0.000
2861,0,0,1000,-0.012,0.041,-0.000,-0.000
2867,0,0,998,0.016,-0.043,-0.000,-0.000
2874,0,0,1001,-0.012,0.041,-0.000,-0.000
2879,1,0,999,-0.012,-0.071,-0.000,-0.000
2885,0,0,1000,0.016,-0.015,-0.000,-0.000
2891,0,1,999,0.072,0.013,-0.000,-0.000
2898,-2,1,998,0.072,0.153,-0.000,-0.000
2903,1,1,998,0.100,-0.071,-0.000,-0.000
2909,0,-1,999,-0.096,-0.015,-0.000,-0.000
2920,0,-2,999,-0.124,-0.043,-0.000,-0.000
2927,0,-1,999,-0.096,-0.015,-0.000,-0.000
2933,-1,0,999,-0.040,0.069,-0.000,-0.000
2938,0,0,1000,-0.012,-0.015,-0.000,-0.000
2944,0,0,999,0.016,0.013,-0.000,-0.000
2951,-1,0,1000,0.044,0.097,-0.000,-0.000
2956,0,0,999,0.044,0.041,-0.000,-0.000
2962,0,0,999,-0.012,-0.043,-0.000,-0.000
2968,0,0,1001,-0.012,0.013,-0.000,-0.000
2979,0,0,1000,0.016,-0.043,-0.000,-0.000
2985,0,-1,998,-0.096,-0.043,-0.000,-0.000
2991,0,-1,998,-0.068,-0.043,-0.000,-0.000
2997,0,-1,999,-0.068,0.013,-0.000,-0.000
3004,0,0,998,-0.040,-0.043,-0.000,-0.000
3009,0,1,999,0.072,0.013,-0.000,-0.000
3016,0,0,1000,-0.040,-0.043,-0.000,-0.000
3021,0,0,999,-0.040,-0.043,-0.000,-0.000
3028,-2,0,1000,0.016,0.153,-0.000,-0.000
3033,-2,0,998,-0.012,0.125,-0.000,-0.000
3039,0,0,998,-0.012,0.013,-0.000,-0.000
3045,0,0,999,0.044,-0.043,-0.000,-0.000
3052,0,2,999,0.156,-0.043,-0.000,-0.000
3057,0,-1,999,-0.068,-0.015,-0.000,-0.000
3063,0,0,998,-0.040,-0.015,-0.000,-0.000
3069,0,0,1001,-0.040,0.013,-0.000,-0.000
3076,1,1,999,0.072,-0.099,-0.000,-0.000
3081,1,1,999,0.072,-0.099,-0.000,-0.000
3087,1,-1,998,-0.068,-0.071,-0.000,-0.000
3093,0,0,999,-0.040,0.041,-0.000,-0.000
3100,0,2,998,0.156,0.013,-0.000,-0.000
3105,0,1,1001,0.072,-0.043,-0.000,-0.000
3111,0,1,997,0.100,0.041,-0.000,-0.000
3117,1,0,1001,0.044,-0.098,-0.000,-0.000
3124,0,0,998,-0.040,0.013,-0.000,-0.000
3138,0,0,998,0.016,-0.015,-0.000,-0.000
3144,-1,-1,1000,-0.068,0.069,-0.000,-0.000
3150,0,0,999,-0.012,-0.043,-0.000,-0.000
3157,-2,0,999,-0.040,0.153,-0.000,-0.000
3162,0,-2,999,-0.124,0.013,-0.000,-0.000
3168,0,-1,1001,-0.068,0.013,-0.000,-0.000
3174,0,-1,999,-0.068,-0.043,-0.000,-0.000
3181,1,0,999,0.044,-0.099,-0.000,-0.000
3186,-1,0,1001,-0.012,0.097,-0.000,-0.000
3193,-1,0,1001,0.044,0.069,-0.000,-0.000
3198,0,0,997,0.044,-0.015,-0.000,-0.000
3205,0,0,999,-0.012,0.041,-0.000,-0.000
3211,-1,1,999,0.100,0.069,-0.000,-0.000
3217,0,1,998,0.072,0.013,-0.000,-0.000
3223,0,0,1000,0.044,0.013,-0.000,-0.000
3230,1,1,999,0.100,-0.071,-0.000,-0.000
3236,0,-2,999,-0.124,-0.015,-0.000,-0.000
3241,0,0,1001,-0.012,-0.043,-0.000,-0.000
3247,0,0,997,-0.012,0.041,-0.000,-0.000
3254,0,-1,997,-0.068,-0.043,-0.000,-0.000
3259,0,0,1000,0.044,-0.043,-0.000,-0.000
3265,-1,0,999,0.016,0.097,-0.000,-0.000
3271,-2,-3,998,-0.180,0.125,-0.000,-0.000
3278,0,0,1000,0.016,-0.015,-0.000,-0.000
3283,0,0,999,-0.012,0.041,-0.000,-0.000
3293,0,-1,997,-0.096,-0.015,-0.000,-0.000
