t_ms,ax_g,ax_lpf_g
4601,0.001,0.001
4607,0.001,0.001
4614,0.001,0.001
4619,0.001,0.001
4625,-0.002,-0.002
4631,0.001,0.001
4638,-0.000,-0.000
4643,-0.001,-0.001
4649,0.001,0.000
4655,-0.000,-0.000
4662,0.000,-0.000
4667,0.001,0.000
4673,0.000,0.000
4679,0.001,0.001
4686,-0.002,-0.002
4691,-0.000,-0.001
4697,-0.001,-0.001
4703,-0.000,-0.000
4711,0.003,0.003
4716,-0.001,-0.001
4722,-0.001,-0.001
4729,-0.000,-0.001
4735,0.002,0.002
4741,0.000,0.000
4748,0.001,0.001
4753,-0.000,-0.000
4759,0.001,0.001
4765,0.001,0.001
4772,-0.001,-0.001
4777,0.001,0.001
4783,0.001,0.001
4789,-0.001,-0.001
4796,-0.000,-0.000
4802,-0.000,-0.000
4809,-0.001,-0.001
4814,-0.001,-0.001
4821,0.001,0.000
4826,0.001,0.001
4832,-0.003,-0.003
4838,-0.001,-0.002
4845,-0.001,-0.001
4850,0.001,0.001
4859,-0.000,-0.000
4865,-0.004,-0.004
4871,-0.000,-0.001
4878,-0.002,-0.002
4883,-0.001,-0.001
4889,-0.000,-0.001
4895,-0.000,-0.000
4902,-0.001,-0.001
4907,-0.001,-0.001
4913,0.001,0.000
4919,0.000,0.000
4926,0.001,0.001
4931,-0.001,-0.001
4937,-0.001,-0.001
4943,0.001,0.001
4950,0.001,0.001
4956,0.001,0.001
4961,-0.000,-0.000
4967,-0.000,-0.000
4974,-0.002,-0.002
4981,0.001,0.000
4986,0.000,0.000
4993,0.001,0.000
4999,0.001,0.001
5004,-0.001,-0.001
5010,-0.001,-0.001
5017,0.001,0.001
5023,0.001,0.001
5029,0.001,0.001
5034,0.001,0.001
5040,0.001,0.001
5047,0.001,0.001
5052,-0.000,-0.000
5058,-0.002,-0.002
5064,0.001,0.001
5071,0.001,0.001
5076,0.000,0.000
5082,-0.003,-0.003
5089,-0.001,-0.002
5095,0.001,0.000
5101,-0.002,-0.002
5107,-0.001,-0.001
5114,-0.001,-0.001
5119,0.002,0.002
5125,0.001,0.002
5131,0.000,0.000
5138,0.000,0.000
5143,0.001,0.000
5149,-0.001,-0.001
5155,-0.001,-0.001
5162,-0.002,-0.002
5167,0.001,0.000
5173,-0.000,-0.000
5179,-0.001,-0.001
5186,0.000,-0.000
5191,-0.000,-0.000
5197,-0.002,-0.002
5207,-0.000,-0.001
5213,-0.001,-0.001
5220,0.000,-0.000
5225,-0.001,-0.001
5231,0.000,-0.000
5237,0.000,0.000
5244,0.001,0.001
5254,-0.002,-0.002
5260,-0.002,-0.002
5267,-0.000,-0.001
5273,0.001,0.000
5278,0.001,0.001
5284,-0.002,-0.002
5291,-0.001,-0.001
5297,-0.002,-0.002
5302,-0.001,-0.001
5309,0.001,0.001
5314,0.000,0.000
5321,0.001,0.000
5326,-0.000,-0.000
5332,0.001,0.001
5338,-0.001,-0.001
5345,0.001,0.000
5350,0.000,0.000
5356,-0.001,-0.001
5362,-0.000,-0.000
5369,-0.000,-0.000
5374,-0.001,-0.001
5380,-0.000,-0.000
5386,-0.002,-0.002
5393,0.001,0.000
5398,0.000,0.000
5404,-0.001,-0.001
5410,-0.000,-0.001
5417,0.003,0.003
5422,0.001,0.001
5429,0.001,0.001
5434,0.000,0.000
5441,0.000,0.000
5446,0.001,0.001
5452,0.002,0.002
5458,0.001,0.001
5465,-0.001,-0.001
5470,0.001,0.000
5476,-0.002,-0.002
5482,0.002,0.002
5489,-0.002,-0.002
5494,0.001,0.001
5500,0.000,0.000
5506,-0.000,-0.000
5513,0.001,0.001
5522,0.001,0.001
5527,0.001,0.001
5533,0.001,0.001
5539,-0.000,-0.000
5546,0.000,0.000
5551,0.001,0.000
5561,-0.000,-0.000
5566,0.000,-0.000
5572,-0.000,-0.000
5578,-0.003,-0.003
5585,-0.001,-0.001
5590,-0.003,-0.003
5596,0.000,-0.000
5602,0.002,0.002
5609,0.001,0.001
5615,-0.000,-0.000
5621,0.001,0.001
5628,-0.001,-0.001
