t_ms,ax_mg,ay_mg,az_mg,roll_acc_deg,pitch_acc_deg
2968,0,0,1000,-0.02,0.014
2975,0,0,999,-0.02,0.014
2980,0,-1,1000,-0.104,0.014
2986,-1,0,1002,0.035,0.097
2992,-2,2,1001,0.119,0.153
2999,0,0,996,0.008,0.042
3004,-2,1,998,0.064,0.126
3057,1,-1,999,-0.076,-0.098
3063,0,0,1000,0.008,-0.014
3069,1,1,1000,0.091,-0.098
3076,0,0,998,0.008,-0.014
3081,0,0,999,0.008,0.042
3087,1,-2,1000,-0.132,-0.07
3096,2,0,1000,-0.048,-0.154
3101,1,0,999,-0.048,-0.07
3107,0,0,999,-0.02,-0.042
3114,0,0,999,-0.048,-0.042
3119,-1,0,999,-0.048,0.098
3125,0,1,999,0.064,0.042
3131,0,0,999,-0.02,-0.014
3138,0,0,1000,-0.048,0.042
3143,1,0,999,0.008,-0.07
3149,1,0,999,-0.02,-0.07
3155,0,0,998,0.008,-0.042
3162,0,0,1000,0.036,-0.014
3167,0,1,999,0.064,0.014
3173,0,0,998,0.036,0.042
3179,-1,-1,998,-0.076,0.07
3186,0,0,1001,0.008,-0.014
3192,0,3,999,0.175,-0.042
3198,-1,0,997,-0.048,0.07
3205,0,-1,1001,-0.076,0.042
3210,0,0,1000,0.008,0.042
3216,0,1,1001,0.091,0.014
3222,-1,-1,1000,-0.104,0.098
3229,1,1,998,0.064,-0.07
3234,0,-1,1001,-0.076,0.014
3240,-2,0,1001,-0.048,0.125
3246,0,1,999,0.092,-0.042
3253,-2,0,1000,-0.02,0.154
3259,0,1,1000,0.064,0.042
3265,-3,2,998,0.12,0.21
3271,0,-1,998,-0.076,0.014
3278,2,2,999,0.12,-0.126
3283,0,0,1000,0.008,0.042
3293,-1,-1,998,-0.076,0.07
3298,0,0,1001,0.036,-0.014
3304,0,-1,999,-0.076,0.042
3311,0,-2,999,-0.132,-0.014
3316,0,-1,1000,-0.076,0.042
3322,0,0,997,-0.048,0.014
3328,0,-2,1000,-0.132,-0.014
3336,1,0,999,0.036,-0.07
3341,3,-3,1000,-0.216,-0.182
3347,1,0,1001,0.008,-0.098
3354,0,2,1000,0.119,-0.014
3360,-1,-1,997,-0.104,0.07
3365,0,-1,999,-0.076,-0.014
3371,0,-1,1001,-0.076,0.014
3378,0,0,999,0.008,0.014
3383,0,-2,997,-0.132,0.042
3389,1,0,998,-0.02,-0.098
3395,0,0,999,-0.02,-0.014
3402,0,0,999,-0.02,0.042
3407,-1,0,1001,0.008,0.07
3413,0,0,1000,0.008,0.014
3419,1,0,1000,-0.02,-0.098
3426,0,0,1000,-0.048,0.042
3432,1,-1,1002,-0.076,-0.07
3438,-3,0,1001,0.036,0.181
3444,1,0,1000,0.036,-0.098
3451,0,-1,999,-0.104,-0.014
3456,-1,-2,1000,-0.132,0.098
3462,0,2,1001,0.119,-0.014
3468,0,0,1001,-0.02,-0.042
3475,0,-2,1001,-0.132,0.042
3480,0,0,999,-0.048,0.014
3486,1,0,998,0.008,-0.098
3492,2,0,1001,0.008,-0.154
3499,0,0,999,0.008,-0.042
3504,1,0,997,-0.048,-0.07
3510,1,0,1002,0.008,-0.098
3520,0,2,1000,0.119,0.042
3527,-1,0,999,0.036,0.098
3533,-1,1,1001,0.063,0.098
3538,-2,2,1001,0.119,0.125
3544,0,0,999,0.008,-0.014
3551,-2,0,999,0.008,0.126
3556,-1,0,999,0.008,0.07
3562,-1,1,998,0.064,0.07
3568,0,2,997,0.12,-0.042
3576,0,0,999,0.008,-0.042
3582,0,-1,999,-0.076,-0.014
3588,0,-2,999,-0.132,0.042
3595,0,-1,999,-0.104,0.014
3600,-2,-1,999,-0.104,0.126
3606,2,0,1001,-0.02,-0.126
3612,-2,0,1000,-0.048,0.154
3619,0,-1,999,-0.076,0.042
3624,0,0,1000,0.036,-0.014
3630,-2,1,999,0.092,0.126
3636,-1,0,1000,-0.02,0.098
3643,-2,1,999,0.064,0.154
3648,0,0,999,-0.02,0.014
3654,-1,0,998,0.036,0.07
3660,-1,0,999,0.008,0.07
3667,-1,0,1000,0.036,0.098
3672,-1,0,1001,-0.048,0.098
3678,0,0,999,-0.02,0.014
3684,1,0,1001,-0.02,-0.07
3691,2,0,999,-0.02,-0.126
3696,2,0,999,-0.02,-0.154
3702,0,0,999,-0.048,-0.042
3708,1,0,1000,0.036,-0.07
3715,0,0,998,-0.02,0.014
3720,1,-3,1000,-0.188,-0.07
3726,1,1,998,0.092,-0.07
3732,1,0,999,-0.02,-0.07
3739,1,0,1000,-0.02,-0.07
3745,0,0,1001,-0.048,0.042
3751,1,0,1000,0.008,-0.098
3761,0,0,1000,-0.048,0.042
3768,-1,0,999,-0.02,0.098
3773,-2,-1,1001,-0.076,0.153
3779,0,-1,1001,-0.104,-0.042
3785,0,1,999,0.064,-0.042
3792,-1,0,1000,-0.02,0.07
3797,1,0,1000,0.036,-0.07
3803,-1,0,1000,0.008,0.07
3809,1,0,1001,0.008,-0.07
3819,0,0,998,0.008,-0.042
3826,0,1,998,0.092,0.014
3831,-1,1,996,0.064,0.07
3837,0,1,1000,0.091,0.014
3843,0,0,1001,-0.048,-0.014
3850,-3,-1,997,-0.076,0.182
3855,0,0,1001,-0.02,-0.014
3861,-2,-1,1000,-0.076,0.126
3867,-1,2,999,0.147,0.07
3874,0,0,999,-0.048,-0.014
3879,0,0,999,-0.048,0.014
3885,-2,0,999,0.008,0.126
3891,0,0,1001,0.036,-0.014
3898,0,-2,1002,-0.16,0.042
3903,-2,0,997,0.036,0.126
3909,0,0,1000,-0.048,0.042
3915,-2,0,998,-0.048,0.154
3922,0,2,1001,0.119,-0.014
3927,0,0,1000,-0.02,-0.042
3933,0,0,1000,0.036,0.014
3939,2,1,1002,0.063,-0.126
3946,1,0,1000,0.008,-0.07
3951,-1,-1,1000,-0.104,0.07
3957,0,-1,1000,-0.076,-0.014
3963,-3,0,999,-0.02,0.21
3970,1,0,1000,0.036,-0.098
3975,-2,0,999,-0.048,0.126
3981,0,0,1000,-0.02,0.014
4034,2,0,996,-0.048,-0.126
4040,0,-1,999,-0.076,-0.042
4047,0,1,1002,0.063,-0.042
4052,0,0,1001,-0.048,-0.014
4058,0,0,999,-0.02,-0.014
4064,1,0,1000,0.008,-0.098
4071,0,2,999,0.12,-0.014
4076,0,0,997,-0.02,0.014
4082,-1,1,998,0.064,0.098
4091,0,0,1001,-0.02,-0.014
4096,0,0,1003,0.008,-0.014
4102,2,1,1000,0.064,-0.126
4109,0,0,1000,-0.048,-0.042
4114,0,0,1001,0.008,-0.042
4120,0,1,1001,0.091,-0.042
4126,2,0,999,0.008,-0.126
4133,0,0,999,-0.02,-0.014
4138,0,1,998,0.064,0.014
4144,1,0,1001,0.008,-0.07
4150,0,0,1000,0.008,-0.042
4157,0,-1,999,-0.104,-0.042
4162,1,2,999,0.12,-0.07
4168,-1,0,1000,-0.02,0.07
4174,0,0,1001,0.008,0.042
4181,-1,0,1000,-0.048,0.07
4187,-1,0,999,-0.048,0.07
4192,-2,1,999,0.064,0.126
4198,-1,-1,1001,-0.076,0.07
4205,-1,0,1001,0.008,0.098
4210,0,-1,1000,-0.104,-0.042
4216,0,0,999,0.008,0.042
4222,0,0,999,-0.02,0.042
4229,0,-3,999,-0.188,-0.014
4234,-1,-1,999,-0.104,0.07
4240,0,0,1000,0.036,0.042
4246,0,-1,1001,-0.076,0.014
4253,0,0,1001,0.036,0.014
4258,1,0,1001,-0.02,-0.07
4268,-1,0,998,0.036,0.07
4274,0,0,1000,-0.02,-0.014
